shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_296_1,26.21141462,127.6762927,3670001
shapes_296_1,26.2111066,127.6762283,3670002
shapes_296_1,26.21096222,127.676636,3670003
shapes_296_1,26.21086596,127.676872,3670004
shapes_296_1,26.21066382,127.6770866,3670005
shapes_296_1,26.21046168,127.6775265,3670006
shapes_296_1,26.21038468,127.6778698,3670007
shapes_296_1,26.21046168,127.6784706,3670008
shapes_296_1,26.21057719,127.6789534,3670009
shapes_296_1,26.21062532,127.6791787,3670010
shapes_296_1,26.21058682,127.6792324,3680001
shapes_296_1,26.21057,127.67927,3680002
shapes_296_1,26.2107,127.68005,3680003
shapes_296_1,26.21081,127.68068,3680004
shapes_296_1,26.21081,127.68106,3680005
shapes_296_1,26.21081,127.6813,3680006
shapes_296_1,26.21081,127.6813,3690001
shapes_296_1,26.21081,127.68163,3690002
shapes_296_1,26.2108,127.68226,3690003
shapes_296_1,26.21078,127.68286,3690004
shapes_296_1,26.21078,127.68313,3690005
shapes_296_1,26.21076,127.68399,3690006
shapes_296_1,26.21076,127.68416,3690007
shapes_296_1,26.21076,127.68427,3690008
shapes_296_1,26.21076,127.68415,3700001
shapes_296_1,26.21076,127.68416,3700002
shapes_296_1,26.21075,127.68438,3700003
shapes_296_1,26.21075,127.68448,3700004
shapes_296_1,26.21075,127.68459,3700005
shapes_296_1,26.21075,127.68488,3700006
shapes_296_1,26.21075,127.68499,3700007
shapes_296_1,26.21075,127.68514,3700008
shapes_296_1,26.21079,127.68538,3700009
shapes_296_1,26.21086,127.68561,3700010
shapes_296_1,26.21093,127.68582,3700011
shapes_296_1,26.21115,127.68685,3700012
shapes_296_1,26.21136,127.6877,3700013
shapes_296_1,26.21143,127.68799,3700014
shapes_296_1,26.21144,127.688,3700015
shapes_296_1,26.21144,127.688,3710001
shapes_296_1,26.21145,127.68808,3710002
shapes_296_1,26.21146,127.6881,3710003
shapes_296_1,26.21149,127.68824,3710004
shapes_296_1,26.21136,127.68836,3710005
shapes_296_1,26.21128,127.68843,3710006
shapes_296_1,26.21122,127.68848,3710007
shapes_296_1,26.21086,127.68867,3710008
shapes_296_1,26.21024,127.68906,3710009
shapes_296_1,26.2096,127.68945,3710010
shapes_296_1,26.20934,127.6896,3710011
shapes_296_1,26.20866,127.69003,3710012
shapes_296_1,26.20859,127.69009,3710013
shapes_296_1,26.20855,127.69013,3710014
shapes_296_1,26.20849,127.69023,3710015
shapes_296_1,26.20844,127.69035,3710016
shapes_296_1,26.20836,127.69051,3710017
