shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_169_1,26.21128321,127.6765253,2240001
shapes_169_1,26.21148553,127.6764255,2240002
shapes_169_1,26.21175373,127.676763,2240003
shapes_169_1,26.21197576,127.6769453,2240004
shapes_169_1,26.21219736,127.677287,2240005
shapes_169_1,26.21241393,127.6776414,2240006
shapes_169_1,26.21288785,127.678411,2240007
shapes_169_1,26.21301,127.67855,2240008
shapes_169_1,26.21309052,127.6788379,2240009
shapes_169_1,26.21316472,127.6790658,2240010
shapes_169_1,26.21341953,127.6797496,2240011
shapes_169_1,26.21345602,127.6798543,2240012
shapes_169_1,26.21344,127.67986,2250001
shapes_169_1,26.21359,127.6803,2250002
shapes_169_1,26.21363,127.68041,2250003
shapes_169_1,26.21368,127.68038,2250004
shapes_169_1,26.21375,127.68033,2250005
shapes_169_1,26.21456,127.67985,2250006
shapes_169_1,26.2147,127.67975,2250007
shapes_169_1,26.21473,127.67972,2250008
shapes_169_1,26.21494,127.67946,2250009
shapes_169_1,26.21532,127.679,2250010
shapes_169_1,26.21565,127.67861,2250011
shapes_169_1,26.21575,127.6785,2250012
shapes_169_1,26.21583,127.6784,2250013
shapes_169_1,26.2159,127.67847,2250014
shapes_169_1,26.21598,127.67857,2250015
shapes_169_1,26.21646,127.67912,2250016
shapes_169_1,26.2168,127.67955,2250017
shapes_169_1,26.21684,127.67958,2250018
shapes_169_1,26.21684,127.67958,2260001
shapes_169_1,26.21701,127.67975,2260002
shapes_169_1,26.21766,127.68032,2260003
shapes_169_1,26.2181,127.68066,2260004
shapes_169_1,26.21816,127.6808,2260005
shapes_169_1,26.21831,127.68085,2260006
shapes_169_1,26.21887,127.68129,2260007
shapes_169_1,26.21925,127.68159,2260008
shapes_169_1,26.21925,127.68159,2270001
shapes_169_1,26.21941,127.68173,2270002
shapes_169_1,26.21946,127.68177,2270003
shapes_169_1,26.21996,127.68216,2270004
shapes_169_1,26.22056,127.68257,2270005
shapes_169_1,26.22058,127.68266,2270006
shapes_169_1,26.22066,127.68263,2270007
shapes_169_1,26.22074,127.68268,2270008
shapes_169_1,26.22078,127.68277,2270009
shapes_169_1,26.22087,127.68275,2270010
shapes_169_1,26.22177,127.68322,2270011
shapes_169_1,26.22258,127.68365,2270012
shapes_169_1,26.22277,127.68374,2270013
shapes_169_1,26.22289,127.68387,2270014
shapes_169_1,26.22303,127.68388,2270015
shapes_169_1,26.22339,127.68406,2270016
shapes_169_1,26.22339,127.68406,2280001
shapes_169_1,26.22386,127.6843,2280002
shapes_169_1,26.22519,127.68499,2280003
shapes_169_1,26.22539,127.68509,2280004
shapes_169_1,26.22557,127.68519,2280005
shapes_169_1,26.22571,127.68533,2280006
shapes_169_1,26.22585,127.68534,2280007
shapes_169_1,26.22617,127.6855,2280008
shapes_169_1,26.2265,127.68566,2280009
shapes_169_1,26.22685,127.68581,2280010
shapes_169_1,26.22717,127.68592,2280011
shapes_169_1,26.22752,127.68602,2280012
shapes_169_1,26.22795,127.68611,2280013
shapes_169_1,26.2284,127.68618,2280014
shapes_169_1,26.22882,127.6862,2280015
shapes_169_1,26.229,127.68621,2280016
shapes_169_1,26.22938,127.68621,2280017
shapes_169_1,26.22985,127.68616,2280018
shapes_169_1,26.23006,127.68619,2280019
shapes_169_1,26.23026,127.68609,2280020
shapes_169_1,26.23065,127.68599,2280021
shapes_169_1,26.23065,127.68599,2290001
shapes_169_1,26.23091,127.68593,2290002
shapes_169_1,26.23154,127.68575,2290003
shapes_169_1,26.2318,127.68567,2290004
shapes_169_1,26.23216,127.68559,2290005
shapes_169_1,26.23253,127.68551,2290006
shapes_169_1,26.23283,127.68552,2290007
shapes_169_1,26.23309,127.68553,2290008
shapes_169_1,26.23319,127.68561,2290009
shapes_169_1,26.23328,127.68555,2290010
