shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_168_1,26.33798,127.84271,1930001
shapes_168_1,26.33772,127.84219,1930002
shapes_168_1,26.33764,127.84198,1930003
shapes_168_1,26.33742,127.84084,1930004
shapes_168_1,26.33726,127.84016,1930005
shapes_168_1,26.33707,127.83979,1930006
shapes_168_1,26.33691,127.83959,1930007
shapes_168_1,26.3361,127.83854,1930008
shapes_168_1,26.3361,127.83854,1940001
shapes_168_1,26.33592,127.83831,1940002
shapes_168_1,26.33531,127.83754,1940003
shapes_168_1,26.33511,127.83711,1940004
shapes_168_1,26.33504,127.83701,1940005
shapes_168_1,26.33447,127.83626,1940006
shapes_168_1,26.33385,127.83544,1940007
shapes_168_1,26.33324,127.83462,1940008
shapes_168_1,26.334,127.83384,1940009
shapes_168_1,26.3344,127.83345,1940010
shapes_168_1,26.3344,127.83345,1950001
shapes_168_1,26.33503,127.83281,1950002
shapes_168_1,26.33526,127.83258,1950003
shapes_168_1,26.33539,127.83244,1950004
shapes_168_1,26.33569,127.83226,1950005
shapes_168_1,26.33611,127.83206,1950006
shapes_168_1,26.33621,127.83201,1950007
shapes_168_1,26.33637,127.83185,1950008
shapes_168_1,26.33647,127.83175,1950009
shapes_168_1,26.33661,127.83139,1950010
shapes_168_1,26.33662,127.83134,1950011
shapes_168_1,26.33662,127.83134,1960001
shapes_168_1,26.33664,127.83129,1960002
shapes_168_1,26.33669,127.83101,1960003
shapes_168_1,26.33677,127.83072,1960004
shapes_168_1,26.33695,127.83021,1960005
shapes_168_1,26.33695,127.82995,1960006
shapes_168_1,26.3369,127.82974,1960007
shapes_168_1,26.33665,127.82918,1960008
shapes_168_1,26.33634,127.82876,1960009
shapes_168_1,26.33612,127.82851,1960010
shapes_168_1,26.33551,127.82786,1960011
shapes_168_1,26.33544,127.82779,1960012
shapes_168_1,26.33528,127.82771,1960013
shapes_168_1,26.33516,127.82765,1960014
shapes_168_1,26.335,127.82758,1960015
shapes_168_1,26.335,127.82758,1970001
shapes_168_1,26.33489,127.82753,1970002
shapes_168_1,26.33476,127.82743,1970003
shapes_168_1,26.3347,127.82739,1970004
shapes_168_1,26.33436,127.82722,1970005
shapes_168_1,26.33347,127.82691,1970006
shapes_168_1,26.33333,127.8274,1970007
shapes_168_1,26.33319,127.82784,1970008
shapes_168_1,26.33316,127.82792,1970009
shapes_168_1,26.33316,127.82792,1980001
shapes_168_1,26.33309,127.82813,1980002
shapes_168_1,26.333,127.8284,1980003
shapes_168_1,26.33298,127.82846,1980004
shapes_168_1,26.33292,127.82863,1980005
shapes_168_1,26.33277,127.82906,1980006
shapes_168_1,26.33255,127.82972,1980007
shapes_168_1,26.33238,127.83012,1980008
shapes_168_1,26.33223,127.83034,1980009
shapes_168_1,26.33173,127.83091,1980010
shapes_168_1,26.33149,127.83119,1980011
shapes_168_1,26.33099,127.83184,1980012
shapes_168_1,26.33084,127.83202,1980013
shapes_168_1,26.33045,127.83254,1980014
shapes_168_1,26.33023,127.83283,1980015
shapes_168_1,26.3301,127.83274,1980016
shapes_168_1,26.32984,127.8326,1980017
shapes_168_1,26.32929,127.83234,1980018
shapes_168_1,26.32913,127.83226,1980019
shapes_168_1,26.32913,127.83226,1990001
shapes_168_1,26.32906,127.83222,1990002
shapes_168_1,26.32885,127.83212,1990003
shapes_168_1,26.32873,127.83206,1990004
shapes_168_1,26.32851,127.83196,1990005
shapes_168_1,26.32837,127.83189,1990006
shapes_168_1,26.32815,127.83179,1990007
shapes_168_1,26.32803,127.83174,1990008
shapes_168_1,26.32782,127.83163,1990009
shapes_168_1,26.32768,127.83157,1990010
shapes_168_1,26.32747,127.83147,1990011
shapes_168_1,26.32735,127.83141,1990012
shapes_168_1,26.32718,127.83132,1990013
shapes_168_1,26.32718,127.83132,2000001
shapes_168_1,26.32713,127.8313,2000002
shapes_168_1,26.32702,127.83124,2000003
shapes_168_1,26.32679,127.83115,2000004
shapes_168_1,26.32666,127.83109,2000005
shapes_168_1,26.32658,127.83106,2000006
shapes_168_1,26.32654,127.83104,2000007
shapes_168_1,26.32642,127.83098,2000008
shapes_168_1,26.32612,127.83084,2000009
shapes_168_1,26.326,127.83077,2000010
shapes_168_1,26.32579,127.83067,2000011
shapes_168_1,26.32566,127.8306,2000012
shapes_168_1,26.32544,127.83049,2000013
shapes_168_1,26.32532,127.83043,2000014
shapes_168_1,26.32528,127.83053,2000015
shapes_168_1,26.32528,127.83053,2010001
shapes_168_1,26.32532,127.83043,2010002
shapes_168_1,26.32511,127.83033,2010003
shapes_168_1,26.32498,127.83027,2010004
shapes_168_1,26.32477,127.83017,2010005
shapes_168_1,26.32463,127.8301,2010006
shapes_168_1,26.32443,127.83001,2010007
shapes_168_1,26.32429,127.82995,2010008
shapes_168_1,26.32407,127.82985,2010009
shapes_168_1,26.32394,127.8298,2010010
shapes_168_1,26.3239,127.82989,2010011
shapes_168_1,26.3239,127.82989,2020001
shapes_168_1,26.32394,127.8298,2020002
shapes_168_1,26.32425,127.829,2020003
shapes_168_1,26.32463,127.82798,2020004
shapes_168_1,26.32441,127.82789,2020005
shapes_168_1,26.32428,127.82784,2020006
shapes_168_1,26.32406,127.82775,2020007
shapes_168_1,26.32394,127.8277,2020008
shapes_168_1,26.32373,127.82762,2020009
shapes_168_1,26.32346,127.82752,2020010
shapes_168_1,26.32352,127.82734,2020011
shapes_168_1,26.32356,127.8272,2020012
shapes_168_1,26.32356,127.8272,2030001
shapes_168_1,26.32374,127.82649,2030002
shapes_168_1,26.3239,127.82594,2030003
shapes_168_1,26.32395,127.82582,2030004
shapes_168_1,26.32423,127.8251,2030005
shapes_168_1,26.32426,127.82504,2030006
shapes_168_1,26.32477,127.82384,2030007
shapes_168_1,26.32487,127.82362,2030008
shapes_168_1,26.32487,127.82362,2040001
