shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_154_1,26.21141003,127.676284,970001
shapes_154_1,26.21126721,127.6762562,970002
shapes_154_1,26.21119679,127.676253,970003
shapes_154_1,26.21102185,127.6762949,970004
shapes_154_1,26.2108841,127.6766207,970005
shapes_154_1,26.21077704,127.6768703,970006
shapes_154_1,26.2105488,127.6773776,970007
shapes_154_1,26.21040393,127.6777625,970008
shapes_154_1,26.21035418,127.6779474,970009
shapes_154_1,26.21049056,127.6786745,970010
shapes_154_1,26.21059644,127.6791358,970011
shapes_154_1,26.21059163,127.6791251,980001
shapes_154_1,26.21057,127.67927,980002
shapes_154_1,26.2107,127.68005,980003
shapes_154_1,26.21081,127.68068,980004
shapes_154_1,26.21081,127.68106,980005
shapes_154_1,26.21081,127.68113,980006
shapes_154_1,26.21081,127.68113,990001
shapes_154_1,26.21081,127.68163,990002
shapes_154_1,26.2108,127.68226,990003
shapes_154_1,26.21078,127.68286,990004
shapes_154_1,26.21078,127.68313,990005
shapes_154_1,26.21076,127.68399,990006
shapes_154_1,26.21076,127.68427,990007
shapes_154_1,26.21076,127.68427,1000001
shapes_154_1,26.21075,127.68438,1000002
shapes_154_1,26.21075,127.68469,1000003
shapes_154_1,26.21075,127.68488,1000004
shapes_154_1,26.21075,127.68499,1000005
shapes_154_1,26.21075,127.68514,1000006
shapes_154_1,26.21079,127.68538,1000007
shapes_154_1,26.21086,127.68561,1000008
shapes_154_1,26.21093,127.68582,1000009
shapes_154_1,26.21115,127.68685,1000010
shapes_154_1,26.21136,127.6877,1000011
shapes_154_1,26.21146,127.6881,1000012
shapes_154_1,26.21149,127.68824,1000013
shapes_154_1,26.21162,127.68809,1000014
shapes_154_1,26.21147237,127.6881319,1010001
shapes_154_1,26.21149,127.68824,1010002
shapes_154_1,26.21136,127.68836,1010003
shapes_154_1,26.21128,127.68843,1010004
shapes_154_1,26.21122,127.68848,1010005
shapes_154_1,26.21086,127.68867,1010006
shapes_154_1,26.21024,127.68906,1010007
shapes_154_1,26.2096,127.68945,1010008
shapes_154_1,26.20934,127.6896,1010009
shapes_154_1,26.20866,127.69003,1010010
shapes_154_1,26.20859,127.69009,1010011
shapes_154_1,26.20855,127.69013,1010012
shapes_154_1,26.20849,127.69023,1010013
shapes_154_1,26.20844,127.69035,1010014
shapes_154_1,26.20836,127.69051,1010015
shapes_154_1,26.20828,127.69072,1010016
shapes_154_1,26.20816,127.69098,1010017
shapes_154_1,26.208,127.69136,1010018
shapes_154_1,26.20796,127.69147,1010019
shapes_154_1,26.20731,127.69115,1010020
