shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_293_1,26.21133762,127.6763034,2550001
shapes_293_1,26.21104885,127.6763517,2550002
shapes_293_1,26.21089003,127.6767433,2550003
shapes_293_1,26.21077452,127.6769149,2550004
shapes_293_1,26.21066382,127.6770329,2550005
shapes_293_1,26.21053388,127.6773012,2550006
shapes_293_1,26.21042799,127.6775426,2550007
shapes_293_1,26.21036543,127.677725,2550008
shapes_293_1,26.21037024,127.6782238,2550009
shapes_293_1,26.21050019,127.6787978,2550010
shapes_293_1,26.21057719,127.6791304,2550011
