shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
shapes_295_1,26.18593,127.80472,3090007
shapes_295_1,26.18574,127.80439,3090008
shapes_295_1,26.18544,127.80387,3090009
shapes_295_1,26.18535,127.80372,3090010
shapes_295_1,26.18535,127.80372,3100001
shapes_295_1,26.1853,127.80363,3100002
shapes_295_1,26.18519,127.80344,3100003
shapes_295_1,26.18472,127.80265,3100004
shapes_295_1,26.18457,127.80241,3100005
shapes_295_1,26.18403,127.80167,3100006
shapes_295_1,26.18379,127.8014,3100007
shapes_295_1,26.18281,127.80025,3100008
shapes_295_1,26.1817,127.79903,3100009
shapes_295_1,26.1813,127.79876,3100010
shapes_295_1,26.18101,127.79865,3100011
shapes_295_1,26.18101,127.79865,3110001
shapes_295_1,26.18077,127.79856,3110002
shapes_295_1,26.18027,127.79857,3110003
shapes_295_1,26.17995,127.79866,3110004
shapes_295_1,26.17867,127.79908,3110005
shapes_295_1,26.17859,127.79911,3110006
shapes_295_1,26.17699,127.79961,3110007
shapes_295_1,26.17668,127.7997,3110008
shapes_295_1,26.17668,127.7997,3120001
shapes_295_1,26.17629,127.79981,3120002
shapes_295_1,26.17502,127.80024,3120003
shapes_295_1,26.17431,127.80039,3120004
shapes_295_1,26.17373,127.80041,3120005
shapes_295_1,26.17364,127.8004,3120006
shapes_295_1,26.17351,127.80039,3120007
shapes_295_1,26.17304,127.80033,3120008
shapes_295_1,26.1726,127.8002,3120009
shapes_295_1,26.17233,127.80007,3120010
shapes_295_1,26.17199,127.79989,3120011
shapes_295_1,26.17192,127.79985,3120012
shapes_295_1,26.17668,127.7997,3130001
shapes_295_1,26.17629,127.79981,3130002
shapes_295_1,26.17502,127.80024,3130003
shapes_295_1,26.17431,127.80039,3130004
shapes_295_1,26.17373,127.80041,3130005
shapes_295_1,26.17364,127.8004,3130006
shapes_295_1,26.17351,127.80039,3130007
shapes_295_1,26.17304,127.80033,3130008
shapes_295_1,26.1726,127.8002,3130009
shapes_295_1,26.17233,127.80007,3130010
shapes_295_1,26.17199,127.79989,3130011
shapes_295_1,26.17192,127.79985,3130012
shapes_295_1,26.17192,127.79985,3140001
shapes_295_1,26.17179,127.79976,3140002
shapes_295_1,26.17119,127.79926,3140003
shapes_295_1,26.17114,127.7992,3140004
shapes_295_1,26.17076,127.79874,3140005
shapes_295_1,26.17052,127.79837,3140006
shapes_295_1,26.17021,127.79775,3140007
shapes_295_1,26.17002,127.79734,3140008
shapes_295_1,26.17,127.79731,3140009
shapes_295_1,26.16991,127.7971,3140010
shapes_295_1,26.17153,127.79955,3150001
shapes_295_1,26.17119,127.79926,3150002
shapes_295_1,26.17114,127.7992,3150003
shapes_295_1,26.17076,127.79874,3150004
shapes_295_1,26.17052,127.79837,3150005
shapes_295_1,26.17021,127.79775,3150006
shapes_295_1,26.17002,127.79734,3150007
shapes_295_1,26.17,127.79731,3150008
shapes_295_1,26.16991,127.7971,3150009
shapes_295_1,26.16991,127.7971,3160001
shapes_295_1,26.16956,127.79629,3160002
shapes_295_1,26.16934,127.79579,3160003
shapes_295_1,26.16931,127.79573,3160004
shapes_295_1,26.16892,127.79478,3160005
shapes_295_1,26.16848,127.7938,3160006
shapes_295_1,26.16831,127.79342,3160007
shapes_295_1,26.16812,127.79302,3160008
shapes_295_1,26.16773,127.79209,3160009
shapes_295_1,26.16768,127.79187,3160010
shapes_295_1,26.16768,127.79187,3170001
shapes_295_1,26.16763,127.79166,3170002
shapes_295_1,26.16756,127.79108,3170003
shapes_295_1,26.1676,127.79014,3170004
shapes_295_1,26.16761,127.7899,3170005
shapes_295_1,26.16775,127.78864,3170006
shapes_295_1,26.16781,127.78811,3170007
shapes_295_1,26.16768,127.79187,3180001
shapes_295_1,26.16763,127.79166,3180002
shapes_295_1,26.16756,127.79108,3180003
shapes_295_1,26.1676,127.79014,3180004
shapes_295_1,26.16761,127.7899,3180005
shapes_295_1,26.16775,127.78864,3180006
